is_imported_car,model,year,mileage,engine_capacity,fuel_type,engine_power,gearbox,transmission,bluetooth_interface,damaged,body_type,door_count,nr_seats,color,colour_type,radio,no_accident,navigation_system,soundsystem,air_conditioning_type,heated_seat_driver,heated_seat_passenger,power_windows_front,park_distance_control_rear,traction_control,fog_lamps,power_steering,esp,passenger_airbag,side_airbag_driver_and_passenger,new_used,version,generation,urban_consumption,park_distance_control_front,head_airbags_rear,sports_steering_wheel,price_amount
1,seria-7,2011,250000,2993.0,diesel,245.0,automatic,rear-wheel,1.0,0.0,sedan,4.0,5.0,black,metallic,1,1.0,1,0,4-or-more-zone-automatic-climate-control,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,ver-730d,gen-f01-2008-2015,9.0,0,0,0,70000.0
0,3gt,2016,250147,1995.0,diesel,150.0,automatic,rear-wheel,1.0,0.0,sedan,5.0,5.0,grey,metallic,1,1.0,1,0,automatic-climate-control,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,ver-318d-luxury-line,gen-f34-2013-2021,5.0,0,0,0,62900.0
0,seria-5,2018,83000,2993.0,diesel,400.0,automatic,all-wheel-permanent,1.0,0.0,sedan,4.0,5.0,black,metallic,1,1.0,1,0,4-or-more-zone-automatic-climate-control,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,ver-m550d-xdrive,gen-g30-2017,6.0,1,1,0,239900.0
1,seria-6,2017,133000,2993.0,diesel,313.0,automatic,all-wheel-permanent,1.0,0.0,sedan,4.0,5.0,black,metallic,1,1.0,1,0,4-or-more-zone-automatic-climate-control,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,ver-640d-xdrive-edycja-m-sport,gen-f12-13-2011,6.0,0,0,0,139900.0
1,seria-5,2021,42000,1995.0,diesel,190.0,automatic,rear-wheel,1.0,0.0,sedan,4.0,5.0,white,metallic,1,1.0,1,1,dualzone-automatic-climate-control,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0,ver-520d-m-sport,gen-g30-2017,4.0,1,0,1,192900.0
1,x3,2014,267000,1995.0,diesel,184.0,manual,all-wheel-auto,1.0,0.0,suv,5.0,5.0,grey,metallic,1,1.0,1,0,4-or-more-zone-automatic-climate-control,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,ver-xdrive20d,gen-f25-2010,6.7,0,0,0,62900.0
1,x3,2008,220000,1995.0,diesel,177.0,automatic,all-wheel-auto,0.0,1.0,suv,5.0,5.0,black,metallic,0,0.0,0,0,dualzone-automatic-climate-control,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,ver-xdrive20d-limited-sport-edition,gen-e83-2003-2010,8.3,0,0,0,14400.0
1,seria-6,1985,39760,3453.0,petrol,285.0,manual,rear-wheel,0.0,0.0,coupe,2.0,4.0,white,metallic,0,1.0,0,0,automatic-climate-control,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,ver-m635-csi,gen-e24-1976-1989,11.3,0,0,0,295000.0
1,seria-3,2015,209000,1995.0,diesel,184.0,manual,rear-wheel,0.0,0.0,combi,5.0,5.0,black,metallic,0,1.0,0,0,dualzone-automatic-climate-control,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,ver-320d-touring-luxury-line,gen-f30-2012,5.0,0,0,0,49900.0
1,seria-3,2011,170000,1995.0,diesel,115.0,manual,rear-wheel,1.0,0.0,sedan,5.0,5.0,black,metallic,1,1.0,0,0,dualzone-automatic-climate-control,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0,ver-318d,gen-e90-2005-2012,5.0,0,0,0,20000.0
1,seria-4,2017,132000,2998.0,petrol,326.0,automatic,all-wheel-auto,1.0,0.0,sedan,5.0,5.0,black,metallic,1,1.0,1,1,dualzone-automatic-climate-control,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0,ver-440i-gran-coupe-xdrive-m-sport,gen-i-f32,9.0,1,1,1,145900.0
0,seria-5,2017,98795,1998.0,petrol,252.0,automatic,all-wheel-auto,1.0,0.0,sedan,4.0,5.0,black,metallic,0,0.0,1,1,dualzone-automatic-climate-control,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0,ver-530i-xdrive-sport-line-sport,gen-g30-2017,7.0,1,0,1,149899.99
0,x3,2019,104800,1995.0,diesel,190.0,automatic,all-wheel-auto,1.0,0.0,suv,5.0,5.0,grey,metallic,1,1.0,0,0,dualzone-automatic-climate-control,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,ver-xdrive20d-xline,gen-g01-2017,5.0,0,0,1,133900.0
1,x5,2016,112000,4395.0,petrol,450.0,automatic,all-wheel-auto,1.0,0.0,suv,5.0,5.0,silver,metallic,1,0.0,1,1,4-or-more-zone-automatic-climate-control,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,ver-xdrive50i-sport--aut,gen-f15-2013,12.9,1,1,1,121000.0
0,x1,2018,90581,1499.0,petrol,140.0,automatic,front-wheel,0.0,1.0,suv,5.0,5.0,black,metallic,0,0.0,0,0,air-conditioning,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,ver-sdrive18i-advantage,gen-f48-2015,6.0,0,0,0,49900.0
1,seria-3,2008,250592,1995.0,diesel,177.0,manual,rear-wheel,1.0,0.0,coupe,3.0,4.0,black,metallic,1,1.0,0,0,automatic-climate-control,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,ver-318i,gen-e90-2005-2012,6.1,0,0,0,28500.0
1,3gt,2017,204890,1995.0,diesel,150.0,automatic,rear-wheel,1.0,0.0,sedan,5.0,5.0,silver,metallic,1,1.0,1,1,automatic-climate-control,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,ver-318d-advantage,gen-f34-2013-2021,5.0,0,1,1,65900.01
0,x5,2020,26500,1995.0,diesel,231.0,automatic,all-wheel-auto,1.0,0.0,suv,5.0,5.0,black,metallic,1,0.0,1,1,dualzone-automatic-climate-control,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,ver-xdrive25d,gen-g05-2018,6.0,1,0,1,245000.0
1,x1,2010,236000,1995.0,diesel,143.0,manual,rear-wheel,0.0,1.0,suv,5.0,5.0,brown,metallic,1,0.0,0,0,air-conditioning,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,ver-sdrive18d,gen-e84-2009-2015,6.0,0,0,0,14500.0
1,x3,2020,62800,1998.0,plugin-hybrid,184.0,automatic,all-wheel-auto,1.0,0.0,suv,5.0,5.0,white,metallic,1,1.0,1,1,trizone-automatic-climate-control,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,ver-xdrive20d,gen-g01-2017,7.0,1,1,1,169000.0
0,x1,2016,160000,1995.0,diesel,150.0,automatic,all-wheel-permanent,1.0,0.0,suv,5.0,5.0,white,metallic,1,1.0,1,1,automatic-climate-control,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,ver-xdrive18d,gen-f48-2015,5.5,0,1,0,70000.0
1,x1,2016,192000,1499.0,petrol,136.0,automatic,front-wheel,0.0,0.0,suv,5.0,5.0,black,metallic,1,0.0,0,1,dualzone-automatic-climate-control,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0,ver-sdrive18i,gen-f48-2015,6.0,1,1,1,69000.0
1,x1,2013,214000,1995.0,diesel,143.0,manual,rear-wheel,0.0,0.0,suv,5.0,5.0,white,metallic,1,1.0,0,0,air-conditioning,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,ver-sdrive18d,gen-e84-2009-2015,6.0,0,0,0,39000.0
1,seria-5,2015,288000,1995.0,diesel,190.0,automatic,all-wheel-auto,0.0,0.0,combi,5.0,5.0,grey,metallic,1,1.0,1,1,automatic-climate-control,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,ver-520d-xdrive-luxury-line,gen-f10-2009,5.6,0,1,0,54900.0
1,seria-5,2017,187000,1995.0,diesel,190.0,automatic,rear-wheel,1.0,0.0,combi,5.0,5.0,other,metallic,1,1.0,1,1,dualzone-automatic-climate-control,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,ver-520d-sport-line,gen-g30-2017,4.0,1,1,1,98800.0
0,seria-5,2018,80000,1998.0,petrol,252.0,automatic,all-wheel-permanent,1.0,0.0,sedan,4.0,5.0,black,pearl,1,0.0,1,0,dualzone-automatic-climate-control,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,ver-530i-xdrive-m-sport-sport,gen-g30-2017,7.0,1,1,1,139900.0
1,x3,2018,18500,1998.0,petrol,252.0,automatic,all-wheel-permanent,1.0,1.0,suv,5.0,5.0,grey,metallic,1,0.0,1,1,dualzone-automatic-climate-control,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,ver-xdrive20d-luxury-line,gen-g01-2017,8.3,1,1,1,57900.0
1,seria-3,2021,14300,1998.0,petrol,245.0,automatic,rear-wheel,1.0,1.0,sedan,5.0,5.0,black,metallic,0,0.0,1,1,trizone-automatic-climate-control,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0,ver-330i-sport,gen-g20-2019,7.1,1,0,1,48900.0
1,seria-5,2017,54300,1998.0,petrol,252.0,automatic,rear-wheel,1.0,1.0,sedan,5.0,5.0,white,metallic,1,0.0,1,1,dualzone-automatic-climate-control,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,ver-530i,gen-g30-2017,7.0,1,1,1,72900.0
1,seria-3,2015,31400,1998.0,petrol,258.0,automatic,rear-wheel,1.0,1.0,sedan,5.0,5.0,white,metallic,1,0.0,1,1,dualzone-automatic-climate-control,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,ver-318d-sport-line,gen-f30-2012,7.4,1,1,1,29900.0
0,seria-3,2019,111114,1499.0,petrol,136.0,automatic,rear-wheel,1.0,0.0,combi,5.0,5.0,silver,metallic,1,1.0,1,0,dualzone-automatic-climate-control,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,ver-318i-advantage,gen-f30-2012,6.0,0,0,1,67648.77
1,seria-5,2016,151000,4395.0,petrol,449.0,automatic,all-wheel-permanent,1.0,0.0,sedan,4.0,5.0,black,metallic,1,0.0,0,0,4-or-more-zone-automatic-climate-control,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0,ver-550i-xdrive-sport--aut,gen-f10-2009,12.7,1,1,1,89000.0
1,seria-3,2017,229894,1995.0,diesel,150.0,automatic,rear-wheel,1.0,0.0,sedan,5.0,5.0,grey,metallic,1,1.0,1,0,automatic-climate-control,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,ver-318d,gen-f30-2012,5.0,0,1,1,64900.0
1,seria-7,2010,165850,2993.0,diesel,306.0,automatic,rear-wheel,1.0,0.0,sedan,4.0,4.0,black,metallic,1,1.0,1,1,dualzone-automatic-climate-control,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,ver-740d,gen-f01-2008-2015,9.0,1,1,0,72000.0
0,x3,2018,80476,1998.0,petrol,184.0,automatic,all-wheel-auto,1.0,0.0,suv,5.0,5.0,black,metallic,1,1.0,1,1,dualzone-automatic-climate-control,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0,ver-xdrive20i,gen-g01-2017,8.0,0,0,1,115618.77
1,x7,2021,38680,4395.0,petrol,530.0,automatic,all-wheel-auto,1.0,0.0,suv,5.0,7.0,black,metallic,1,0.0,1,1,4-or-more-zone-automatic-climate-control,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,ver-m50i-sport,gen-g07-2019,14.8,1,1,1,349000.0
1,seria-7,2013,75000,4395.0,petrol,450.0,automatic,rear-wheel,1.0,0.0,sedan,4.0,5.0,other,metallic,1,1.0,1,1,4-or-more-zone-automatic-climate-control,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,ver-750li,gen-f01-2008-2015,11.0,1,0,1,76900.0
1,seria-1,2019,53200,1499.0,petrol,109.0,manual,rear-wheel,1.0,0.0,compact,5.0,5.0,grey,metallic,0,0.0,0,0,automatic-climate-control,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0,ver-116i-m-sport,gen-f20-2011,6.0,1,1,1,62000.0
1,seria-3,2008,220000,1995.0,petrol,143.0,manual,rear-wheel,0.0,0.0,sedan,4.0,5.0,blue,metallic,1,1.0,0,1,automatic-climate-control,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,ver-318i,gen-e90-2005-2012,8.0,0,1,1,22900.0
1,seria-8,2020,23000,4395.0,petrol,530.0,automatic,all-wheel-permanent,1.0,0.0,coupe,4.0,5.0,black,pearl,1,0.0,1,1,automatic-climate-control,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0,ver-m850i-xdrive,gen-g15-2018,10.0,1,0,1,309900.0
1,x3,2013,129500,1995.0,diesel,184.0,manual,all-wheel-permanent,1.0,0.0,suv,5.0,5.0,black,metallic,1,0.0,0,0,automatic-climate-control,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,ver-xdrive20d,gen-f25-2010,6.7,0,1,0,67900.0
1,x3,2011,242000,1995.0,diesel,184.0,manual,all-wheel-auto,1.0,0.0,suv,5.0,5.0,blue,metallic,1,1.0,1,1,4-or-more-zone-automatic-climate-control,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,ver-xdrive20d-blue-performance,gen-f25-2010,6.7,1,1,1,52900.0
1,seria-5,2000,306000,2986.0,diesel,184.0,automatic,rear-wheel,1.0,0.0,combi,5.0,5.0,black,metallic,1,1.0,0,1,automatic-climate-control,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,ver-528i,gen-e39-1996-2003,10.8,0,1,0,23999.0
1,x3,2019,70000,1998.0,petrol,252.0,automatic,rear-wheel,1.0,0.0,suv,5.0,5.0,black,pearl,1,1.0,0,1,trizone-automatic-climate-control,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,ver-xdrive20d-luxury-line,gen-g01-2017,8.0,1,1,0,102100.0
0,seria-5,2014,170000,1995.0,diesel,218.0,automatic,all-wheel-permanent,1.0,0.0,combi,5.0,5.0,black,metallic,1,1.0,1,0,automatic-climate-control,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0,ver-525d-xdrive,gen-f10-2009,6.0,0,0,0,60000.0
1,x3,2017,130000,1995.0,diesel,150.0,manual,rear-wheel,0.0,0.0,suv,5.0,5.0,black,metallic,0,1.0,0,0,dualzone-automatic-climate-control,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,ver-xdrive28i,gen-f25-2010,5.2,0,0,0,74500.0
1,seria-1,2015,201000,1598.0,diesel,95.0,manual,front-wheel,1.0,1.0,compact,5.0,5.0,white,metallic,1,0.0,1,1,automatic-climate-control,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,ver-116i,gen-f20-2011,3.5,0,0,0,17600.0
1,x5,2018,75000,2998.0,petrol,340.0,automatic,all-wheel-permanent,1.0,1.0,suv,5.0,5.0,black,metallic,1,0.0,1,1,automatic-climate-control,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,ver-xdrive40i-sport,gen-f15-2013,8.8,1,1,1,45900.0
1,seria-3,2007,260879,1995.0,petrol,129.0,manual,rear-wheel,0.0,0.0,combi,5.0,5.0,silver,metallic,1,1.0,0,0,dualzone-automatic-climate-control,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,ver-318i,gen-e90-2005-2012,10.0,0,1,1,15900.0
1,seria-5,2014,196000,1995.0,diesel,190.0,automatic,all-wheel-auto,1.0,0.0,combi,5.0,5.0,black,metallic,1,1.0,1,1,dualzone-automatic-climate-control,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,ver-520d-xdrive-luxury-line,gen-f10-2009,5.0,1,0,0,66900.0
0,x3,2018,129606,1995.0,diesel,190.0,automatic,all-wheel-permanent,0.0,0.0,suv,5.0,5.0,black,metallic,1,1.0,1,1,trizone-automatic-climate-control,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,ver-xdrive20d-advantage,gen-g01-2017,5.0,1,0,1,111807.0
0,x1,2019,56468,1496.0,diesel,116.0,automatic,front-wheel,1.0,0.0,suv,5.0,5.0,black,metallic,1,1.0,0,1,dualzone-automatic-climate-control,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,ver-sdrive16d-advantage,gen-f48-2015,5.4,0,1,0,84868.77
0,x3,2022,54300,2993.0,diesel,285.0,automatic,all-wheel-permanent,1.0,0.0,suv,5.0,5.0,other,metallic,1,1.0,1,1,trizone-automatic-climate-control,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,ver-xdrive20d-m-sport-sport,gen-g01-2017,5.8,1,1,1,287205.0
1,seria-3,2008,265000,2993.0,diesel,231.0,automatic,all-wheel-permanent,0.0,0.0,coupe,2.0,5.0,navy-blue,metallic,1,0.0,0,0,automatic-climate-control,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,ver-318i,gen-e90-2005-2012,9.7,0,0,0,29900.0
1,x3,2004,248000,2979.0,petrol,231.0,automatic,all-wheel-auto,0.0,0.0,suv,5.0,5.0,black,metallic,0,1.0,0,0,automatic-climate-control,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,ver-3-0i,gen-e83-2003-2010,17.4,0,0,0,19900.0
1,seria-5,2015,261335,2993.0,diesel,258.0,automatic,all-wheel-auto,1.0,0.0,combi,5.0,5.0,navy-blue,metallic,1,1.0,1,1,automatic-climate-control,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,ver-530d-xdrive-touring-sport--aut-luxury-line,gen-f10-2009,6.9,1,1,1,80000.0
